iters,ssim,psnr,rmse
1000+500,0.6589160075415812,21.205400228500366,0.08967114
10000+5000,0.7218781706559385,23.165395259857178,0.07571706
11000+5500,0.7267290716138497,23.199236392974854,0.07285064
12000+6000,0.7254067563062812,23.08906316757202,0.074238405
13000+6500,0.7244314386604884,23.14665675163269,0.073349774
14000+7000,0.7200571231300854,23.052315711975098,0.07482651
15000+7500,0.7266197692304484,23.29824924468994,0.072937034
16000+8000,0.721670858601442,23.01800847053528,0.073953256
17000+8500,0.7285048415504942,23.114876747131348,0.07246294
18000+9000,0.7236261913276554,23.262981176376343,0.07263295
19000+9500,0.7256881817203897,23.225568532943726,0.07125346
2000+1000,0.6896977528790806,22.10736870765686,0.08191515
20000+10000,0.7261470481130488,23.217432498931885,0.07184471
3000+1500,0.7115790996070928,22.649741172790527,0.07939063
30000+15000,0.723844541953742,23.027158975601196,0.073884726
4000+2000,0.7116341317197339,22.713924646377563,0.07927132
40000+20000,0.7261983782109271,23.011929988861084,0.07345976
5000+2500,0.7243419273393954,23.006547689437866,0.075129956
50000+25000,0.7242550184339507,23.13491940498352,0.07241341
6000+3000,0.7172243182423426,22.741575241088867,0.07709453
7000+3500,0.7272302706369601,23.02487015724182,0.07469556
8000+4000,0.7268401444741812,23.120064735412598,0.07567639
9000+4500,0.7211976653372432,23.064078092575073,0.07486001
