iters,ssim,psnr,rmse
1000+500,0.5446641566534822,18.811715841293335,0.11955042
10000+5000,0.6098472875950218,20.652743577957153,0.097255394
11000+5500,0.6243408802931061,20.753169059753418,0.095290884
12000+6000,0.6247467822075237,20.574036836624146,0.0979571
13000+6500,0.6299802490609636,20.821385383605957,0.09424054
14000+7000,0.6266359264308247,21.038341522216797,0.09419805
15000+7500,0.6289583138099251,21.077885627746582,0.09368476
16000+8000,0.6284375298984912,20.938905477523804,0.09515808
17000+8500,0.6178108046063266,20.585540533065796,0.09677839
18000+9000,0.624375069026519,20.685384273529053,0.09616454
19000+9500,0.6156378218270598,20.82103729248047,0.09578587
2000+1000,0.5882483349218504,19.97839868068695,0.10657317
20000+10000,0.6126734931320841,20.44681191444397,0.09754757
3000+1500,0.5937609554453047,20.18531322479248,0.105651796
30000+15000,0.616119118840986,20.588005781173706,0.09623195
4000+2000,0.6002181660355177,20.326707363128662,0.10379466
40000+20000,0.6207112831948416,20.603668689727783,0.09521636
5000+2500,0.6025969125210368,20.506062507629395,0.10231584
50000+25000,0.6232118554657227,20.725666284561157,0.09344254
6000+3000,0.608818489768733,20.55807590484619,0.10020397
7000+3500,0.6109196338497824,20.472970008850098,0.10051541
8000+4000,0.6211361639074346,20.406290292739868,0.10092452
9000+4500,0.6250715460709305,20.925086736679077,0.095629394
